KxIndex	interested	rr_interested	decision_rr_interested	proba_decision_rr_interested
1		-0.17992276639811952	0	0.99412470957272425
2		0.27186830130762585	1	0.5996411032641592
3		-0.14073685167053457	0	0.98846690772487511
4		0.019068547570582822	0	0.90922749993787921
5		0.25040572332239291	1	0.5546464674931374
6		0.34080027585546141	1	0.72340929115094399
7		-0.28052621597496935	0	0.99817820205135965
8		0.23086453002015006	1	0.51627111367960032
9		0.5132129730279209	1	0.95319232865445691
10		0.56410901959809134	1	0.95320196551484671
11		0.23780510395183196	1	0.52990114006425992
12		0.26498677900528594	1	0.58516091307955542
13		-0.17612646455690542	0	0.99374691194835429
14		-0.025630899507113947	0	0.93702508306479126
15		0.16711579663941167	0	0.64067919578575716
16		0.015563083964589931	0	0.92502748125139223
17		-0.25448990114317227	0	0.99761449361608034
18		-0.18813566000081483	0	0.99494203438568207
19		0.11311142091642232	0	0.70532127511592591
20		0.19213842628905581	1	0.43321077582642137
21		0.47101053164886425	1	0.95318433787593715
22		-0.19843764993696811	0	0.99554799328926247
23		-0.027444924560147653	0	0.93730346767309658
24		0.24996558529314483	1	0.55378211635869312
25		-0.054626343050912407	0	0.94758774739687224
26		0.27235123781424947	1	0.60065730464457479
27		-0.227600535554628	0	0.99684643658924199
28		0.16370254213171379	0	0.64524938109806107
29		0.022568642891363237	0	0.90308004311091139
30		0.13257997877871039	0	0.68058063161729265
31		-0.07266763368635118	0	0.96124144811936663
32		-0.15685445032744025	0	0.990310707967754
33		0.16622619538714437	0	0.64187032951684864
34		0.067072595375113675	0	0.8419869769855135
35		-0.074347454503009378	0	0.96206129117632699
36		-0.19320088509955943	0	0.99531483247294794
37		-0.23092611165194041	0	0.9969945039670296
38		-0.070670376248700276	0	0.96026667888982575
39		0.10415156062569218	0	0.714614642241858
40		0.26914653504903702	1	0.59391392672808918
41		-0.01741096920522011	0	0.93576363296873943
42		0.32045491043888868	1	0.68731068958594332
43		0.22219294291078986	1	0.49771917243935526
44		-0.11327420355165319	0	0.97949759616039145
45		-0.27408699695935629	0	0.99803878746449659
46		0.31537015026479825	1	0.67717221413390316
47		0.087278928288424498	0	0.78610120533051919
48		0.16180684695354525	0	0.64778762670510048
49		0.16926160427929804	0	0.63780606149802055
50		-0.024407150503612172	0	0.93683728362594987
51		0.12481232874085846	0	0.69260781865973509
52		-0.33515264260540228	0	0.99999740618376765
53		0.65982225057118415	1	0.9532200882396259
54		0.18495960135027148	1	0.42068754706787787
55		0.051661696200665769	0	0.86322932065986546
56		0.16912985682432438	0	0.6379824650689514
57		-0.018408740833762517	0	0.9359167533810101
58		0.085452031711713949	0	0.79506237195112606
59		0.1257102639283017	0	0.69121748382246206
60		0.28367143204607709	1	0.62158833871986907
61		0.10607672371111634	0	0.71261782010963681
62		-0.2797400427645218	0	0.99816118073043991
63		0.13145882179951152	0	0.68231659611454143
64		0.45551424711186433	1	0.84977775554649426
65		-0.031166598431477961	0	0.93787460461587346
66		0.095295638415543615	0	0.74514963190853467
67		-0.14676161430226559	0	0.98915612074228165
68		0.097685176402549534	0	0.73269024793792559
69		0.27584642413437177	1	0.60801192189674691
70		-0.22022019158319681	0	0.99651783542449834
71		-0.16948443566977517	0	0.99295066543439126
72		-0.002582698508267962	0	0.93374266094859071
73		0.24054832022930459	1	0.53528831850351033
74		-0.22750397375285669	0	0.99684213728819926
75		0.14483069436898535	0	0.66493578232759842
76		-0.25131303587885545	0	0.99754571177199791
77		0.15124408347701357	0	0.65884306668773762
78		-0.073352969902576448	0	0.96157592911459178
79		-0.39648012398274751	0	0.99999775524865098
80		-0.056303447480576932	0	0.94895959486866299
81		-0.2616760239667224	0	0.99777007930778661
82		0.19389442703050264	1	0.43627406253041984
83		0.068180014144443524	0	0.84057204407706254
84		0.17549077490043624	0	0.61693555395646515
85		0.31223344678013604	1	0.6709179582416348
86		-0.076366805248149733	0	0.96304684313017441
87		0.15739938076029308	0	0.65299553811990374
88		0.36852301135340249	1	0.74421571307495726
89		-0.23582344717991607	0	0.99721034895798188
90		0.23868426125972295	1	0.53162764531019091
91		0.24615984264038271	1	0.54630832913576788
92		-0.072727394827951264	0	0.96127061477603082
93		-0.19560886694951252	0	0.99542204504239451
94		0.11525199957027919	0	0.70310101914688961
95		0.23241225814144589	1	0.51931057055120666
96		-0.14833054639665044	0	0.98933560141047949
97		0.6762209070947427	1	0.95322319322663662
98		0.18220912510498008	1	0.41588942989571615
99		0.069893381054550757	0	0.83838290001295301
100		-0.21680510924902613	0	0.99636578288642585
101		0.33876134742633807	1	0.72187903793432473
102		0.76686269540961127	1	0.95324035570424215
103		0.18175149365707413	1	0.41509110658262527
104		-0.17705045593609001	0	0.99383886505498154
105		-0.1728680064231771	0	0.99342263906555384
106		0.36973447666427334	1	0.74512494003079488
107		0.26777832351537401	1	0.59103491793471907
108		-0.27210837678125133	0	0.9979959486491029
109		-0.19081370397504976	0	0.99520854603142106
110		0.0674513982389707	0	0.84150298605748264
111		-0.072669849965213196	0	0.96124252978285074
112		0.39971287464231281	1	0.76762427805547873
113		0.30061224654667962	1	0.65011959284647447
114		0.21607706894551598	1	0.48290566327670814
115		-0.1703445354677447	0	0.99313044607721523
116		0.040159598366866139	0	0.88105430990559819
117		0.21283571654245761	1	0.47505465068313457
118		0.18700751567768326	1	0.42426006761528928
119		0.22341331028539504	1	0.50067507430851677
120		-0.21347906582497495	0	0.99621769470146293
121		-0.25959556090015173	0	0.9977250355069458
122		0.35812112138036761	1	0.73640890369273737
123		0.029277986087054467	0	0.89475212662008707
124		0.30488952596793739	1	0.65732326927738416
125		-0.28095181240841094	0	0.998187416577344
126		0.32195818614989397	1	0.69030806278976442
127		-0.22282720006503509	0	0.99663390942144814
128		0.11338229364481334	0	0.70504031987469906
129		0.049502106168079291	0	0.86657607267521752
130		-0.063855151487766937	0	0.95503136571869907
131		-0.042183920971431012	0	0.93956534919226675
132		-0.086434900226022515	0	0.96798645437019559
133		0.28111483230366596	1	0.6172825837074315
134		0.28939422811076898	1	0.63122651454846657
135		0.0050683279320181615	0	0.93269988862016173
136		0.34717484620028588	1	0.72819352321882813
137		0.17204941300522134	0	0.63407331831581915
138		0.047886746139878603	0	0.86907942254640813
139		-0.23728378986548451	0	0.9972419666233685
140		0.15743552918487724	0	0.65296119713916634
141		0.10622056048385736	0	0.71246862939773759
142		-0.15298086683400866	0	0.98986758276417774
143		-0.30875060028299961	0	0.99999725590813893
144		0.091937812574078806	0	0.76265780365250624
145		-0.089268711113044227	0	0.96948946963322424
146		-0.20828710793126323	0	0.99598652886179784
147		-0.07175101259625144	0	0.9607940876454818
148		-0.22836373935547349	0	0.99688041734391486
149		0.22743383697820013	1	0.50953385576120303
150		-0.095065918009674399	0	0.97256423036919115
151		-0.085615399588889612	0	0.96756065542593028
152		-0.18168516224681358	0	0.99430009840972555
153		0.037312118009759268	0	0.88477982713009828
154		-0.24545627813973209	0	0.99741890796883836
155		-0.077712351380159889	0	0.96370354213235898
156		0.16693242013843854	0	0.64092472819169966
157		-0.14831877545181915	0	0.98933425485312931
158		0.050110179033050789	0	0.86563373220521322
159		-0.083817858930785305	0	0.96668335874432199
160		0.015304474366625801	0	0.92619309792142213
161		-0.32317421947521363	0	0.99999733800475921
162		-0.26355335334470192	0	0.99781072509091695
163		0.16180684695354525	0	0.64778762670510048
